nome_da_nota,ultima_modificacao,data_da_nota,tags,quantidade_de_palavras
Solicita ao usuário o valor em reais que ele possui,2024-08-07 14:49:38,2024-08-06,[],107
Define a função sorteando() que recebe uma lista como argumento,2024-08-08 19:29:39,2024-08-06,[],275
Importa a biblioteca 'date' para trabalhar com datas,2024-08-08 19:30:57,2024-08-06,[],212
Inicializa o fatorial com 1,2024-08-08 19:33:00,2024-08-06,[],208
"Verifica se a entrada de gols é um número. Se não for, define como 0.",2024-08-08 19:34:32,2024-08-06,[],191
"Define a função leia_int, que recebe uma string como argumento (mensagem para o usuário)",2024-08-08 19:36:43,2024-08-06,[],179
Cria um dicionário vazio para armazenar as informações.,2024-08-08 19:38:40,2024-08-06,[],292
Define as cores para o terminal,2024-08-08 19:51:51,2024-08-06,[],233
Aula (11),2024-08-07 14:51:26,2024-08-06,[],46
1. Solicita ao usuário o valor do produto.,2024-08-07 14:55:45,2024-08-06,[],81
Solicita ao usuário que digite o salário atual,2024-08-07 14:57:31,2024-08-06,[],68
Solicita ao usuário que insira a temperatura em graus Celsius,2024-08-07 14:58:54,2024-08-06,[],61
Este programa calcula o preço a pagar pelo aluguel de um carro.,2024-08-07 15:00:30,2024-08-06,[],183
Importar a função trunc da biblioteca matemática,2024-08-07 15:02:19,2024-08-06,[],108
Importa a biblioteca matemática para utilizar a função hypot(),2024-08-07 15:14:36,2024-08-06,[],92
"Importa a biblioteca matemática do Python, que fornece funções matemáticas como seno, cosseno e tangente.",2024-08-07 15:17:58,2024-08-06,[],132
Importa a biblioteca 'random' para gerar números aleatórios,2024-08-07 15:19:16,2024-08-06,[],128
Solicita o nome dos alunos,2024-08-07 15:21:02,2024-08-06,[],119
Solicita ao usuário que digite seu nome completo,2024-08-07 15:22:12,2024-08-06,[],172
Solicita ao usuário que digite um número inteiro,2024-08-07 15:25:07,2024-08-06,[],163
Solicita ao usuário que digite o nome de uma cidade,2024-08-07 15:26:30,2024-08-06,[],125
Solicita ao usuário que digite seu nome e armazena em uma variável chamada 'n'.,2024-08-07 15:28:21,2024-08-06,[],99
Solicita ao usuário que digite uma frase e armazena em uma variável,2024-08-07 15:29:37,2024-08-06,[],205
Solicita ao usuário que digite uma frase,2024-08-07 16:51:15,2024-08-06,[],195
Solicita ao usuário que digite seu nome completo e armazena na variável 'n',2024-08-07 16:49:44,2024-08-06,[],192
Aula (28),2024-08-06 16:35:42,2024-08-06,[],7
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-07 16:54:04,2024-08-06,[],203
Solicita ao usuário que digite um número inteiro e armazena o valor na variável 'n',2024-09-12 00:20:01,2024-08-06,[],108
Pede ao usuário para inserir a distância da viagem em km,2024-08-07 16:56:47,2024-08-06,[],153
Importa a biblioteca datetime para obter o ano atual,2024-08-07 16:57:44,2024-08-06,[],176
 Faça um programa que leia três números e mostre qual é o maior e qual é o menor.,2024-08-07 16:58:59,2024-08-06,[],238
Solicita ao usuário que digite o salário.,2024-08-07 17:01:03,2024-08-06,[],200
Imprime uma mensagem inicial para o usuário,2024-08-07 17:01:49,2024-08-06,[],171
Imprime uma linha de 60 caracteres '$' para fins de formatação visual,2024-08-07 17:17:09,2024-08-06,[],306
Obter o número inteiro do usuário,2024-08-07 17:19:25,2024-08-06,[],288
Pede ao usuário para digitar o primeiro número e converte para inteiro,2024-08-07 17:20:53,2024-08-06,[],177
Pede ao usuário para inserir o ano de nascimento,2024-08-07 17:23:35,2024-08-06,[],152
"Objetivo: Ler duas notas de um aluno, calcular a média e exibir a situação (Aprovado, Reprovado ou Recuperação).",2024-08-07 17:25:48,2024-08-06,[],230
Imprime uma mensagem de boas-vindas ao usuário,2024-08-07 17:26:47,2024-08-06,[],123
Aula (42),2024-08-06 16:35:42,2024-08-06,[],7
Título do programa,2024-08-07 17:28:18,2024-08-06,[],213
Solicita o valor total das compras do usuário,2024-08-07 17:29:37,2024-08-06,[],256
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-07 17:31:24,2024-08-06,[],229
Importa a biblioteca 'time' para utilizar funções relacionadas ao tempo.,2024-08-07 17:32:51,2024-08-06,[],143
Este programa irá imprimir todos os números pares no intervalo de 1 a 50.,2024-08-07 17:34:00,2024-08-06,[],156
 Faça um programa que calcule a soma entre todos os números que,2024-08-07 17:35:31,2024-08-06,[],181
" mostrando a tabuada de um número que o usuário escolher, só que agora utilizando um laço for.",2024-08-07 17:56:22,2024-08-06,[],139
"Solicita ao usuário que digite um número inteiro e armazena o valor na variável ""num"".",2024-08-06 18:16:34,2024-08-06,[],170
Inicializa a variável 't' para armazenar a soma dos números pares,2024-08-07 17:57:51,2024-08-06,[],138
"Desenvolva um programa que leia o primeiro termo e a razão de uma PA. No final,",2024-08-07 17:59:54,2024-08-06,[],191
Pede ao usuário para inserir um número inteiro.,2024-08-07 18:01:17,2024-08-06,[],157
Solicita ao usuário que digite uma frase e converte para letras maiúsculas,2024-08-07 18:11:05,2024-08-06,[],110
Importa a biblioteca datetime para trabalhar com datas.,2024-08-07 18:12:19,2024-08-06,[],241
Inicializa as variáveis para armazenar o maior e o menor peso,2024-08-07 18:13:13,2024-08-06,[],205
Inicializa as variáveis para armazenar informações:,2024-08-07 18:14:38,2024-08-06,[],403
"#  Faça um programa que leia o sexo de uma pessoa, mas só aceite os valores 'M' ou 'F'.",2024-08-07 18:27:55,2024-08-06,[],76
Importa a biblioteca random para gerar números aleatórios,2024-08-07 18:29:14,2024-08-06,[],317
"Objetivo: Criar um programa que realiza operações matemáticas básicas entre dois números, ",2024-08-07 18:31:42,2024-08-06,[],482
O programa pede ao usuário para digitar um número inteiro.,2024-08-07 14:39:55,2024-08-06,[],159
Solicita ao usuário que digite um número inteiro,2024-08-07 18:33:16,2024-08-06,[],213
O programa recebe o primeiro termo (p) e a razão (r) da progressão aritmética (PA) do usuário.,2024-08-07 18:34:38,2024-08-06,[],151
Leitura dos dados do usuário,2024-08-07 18:35:56,2024-08-06,[],260
Imprime uma linha de '=' com 50 caracteres para delimitar visualmente o início do programa,2024-08-07 18:37:58,2024-08-06,[],380
Inicializa as variáveis:,2024-08-07 18:39:46,2024-08-06,[],169
Inicialização das variáveis,2024-08-07 18:41:26,2024-08-06,[],380
Inicializa as variáveis que serão usadas para contar os números e guardar a soma.,2024-08-07 18:43:36,2024-08-06,[],154
Inicializa a variável 'c' para controlar o contador da tabuada,2024-08-07 18:45:02,2024-08-06,[],260
Inicialização das variáveis:,2024-08-07 18:47:15,2024-08-06,[],333
 Crie um programa que leia a idade e o sexo de várias pessoas.,2024-08-07 19:28:36,2024-08-06,[],396
"Este programa lê duas notas de um aluno, calcula e exibe a média.",2024-08-07 14:42:47,2024-08-06,[],115
Inicialização das variáveis,2024-08-08 18:16:35,2024-08-06,[],327
Imprime o cabeçalho do programa,2024-08-08 18:17:41,2024-08-06,[],253
Cria uma tupla chamada 'n' com as palavras por extenso de zero a vinte.,2024-08-08 18:19:33,2024-08-06,[],235
Define a tupla com os 20 primeiros colocados do Brasileirão,2024-08-08 18:21:23,2024-08-06,[],225
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-08 18:22:15,2024-08-06,[],161
Declaração da tupla,2024-08-08 18:23:22,2024-08-06,[],226
"Cria uma tupla chamada ""p"" contendo nomes de produtos e seus preços alternados.",2024-08-08 18:29:12,2024-08-06,[],242
"Define uma tupla chamada 'p' com várias palavras, sem acentos.",2024-08-08 18:32:36,2024-08-06,[],224
Cria uma lista vazia para armazenar os números.,2024-08-08 18:26:32,2024-08-06,[],340
Inicializa a lista para armazenar os números únicos,2024-08-08 18:33:37,2024-08-06,[],400
Solicita ao usuário que digite um número inteiro,2024-08-07 14:43:56,2024-08-06,[],259
Cria uma lista vazia para armazenar os números.,2024-08-08 18:41:16,2024-08-06,[],300
Inicializa uma lista vazia para armazenar os números digitados pelo usuário.,2024-08-08 18:42:40,2024-08-06,[],213
"Inicializa as listas para armazenar os números, pares e ímpares",2024-08-08 18:45:06,2024-08-06,[],259
Solicita ao usuário que insira a fórmula,2024-08-08 18:46:42,2024-08-06,[],152
Inicializa duas listas:,2024-08-08 18:48:28,2024-08-06,[],406
Cria uma lista de listas (l) para armazenar os números pares e ímpares.,2024-08-08 18:50:41,2024-08-06,[],218
Cria uma matriz 3x3 com todos os elementos inicializados com 0,2024-08-08 18:52:00,2024-08-06,[],252
Cria uma matriz 3x3 de zeros,2024-08-08 18:53:32,2024-08-06,[],423
"""""""088: Faça um programa que ajude um jogador da MEGA SENA a criar palpites.",2024-08-08 18:56:37,2024-08-06,[],483
Cria uma lista composta para armazenar as informações dos alunos.,2024-08-08 18:57:42,2024-08-06,[],354
Este programa lê um valor em metros e o converte para centímetros e milímetros.,2024-08-07 14:45:05,2024-08-06,[],95
"Este programa lê o nome e a média de um aluno, calcula a situação e armazena os dados em um dicionário.",2024-08-08 18:59:31,2024-08-06,[],159
Importa a função randint do módulo random para gerar números aleatórios,2024-08-08 19:17:32,2024-08-06,[],293
Importa a biblioteca 'date' para trabalhar com datas,2024-08-08 19:18:51,2024-08-06,[],198
Cria um dicionário vazio para armazenar os dados do jogador,2024-08-08 19:20:03,2024-08-06,[],418
Inicializa uma lista para armazenar os dados de cada pessoa,2024-08-08 19:20:54,2024-08-06,[],345
Cria duas listas:,2024-08-08 19:22:01,2024-08-06,[],476
Calcula a área do terreno,2024-08-08 19:23:07,2024-08-06,[],153
Calcula o tamanho do bloco (comprimento do texto + 4 para os espaços e bordas),2024-08-08 19:24:37,2024-08-06,[],99
"Define a função 'contagem' que recebe três parâmetros: início, fim e passo.",2024-08-08 19:26:25,2024-08-06,[],382
Define a função maior() que recebe um número variável de argumentos,2024-08-08 19:28:43,2024-08-06,[],297
"Solicita ao usuário que digite um número inteiro e armazena o valor na variável ""num"".",2024-08-09 23:08:40,2024-08-06,[],170
Usando get para buscar uma chave que existe,2024-11-13 19:18:19,2024-11-13,[],94
Exemplos,2024-08-16 00:37:09,2024-08-15,[],148
Exemplo,2024-08-15 23:33:54,2024-08-15,[],122
Argumento,2024-11-16 00:02:07,2024-11-15,[],19
Decorador,2024-08-16 00:27:58,2024-08-15,[],14
Função,2024-11-15 23:52:02,2024-11-14,[],15
